PolicyNo,ClassCode,ClientName,ClassName,FromDate,ToDate,MaxEmpAge,MaxChildAge,MaxConsultation,Chronic,AdmissionLimit,AdvancedInvestigationLimit,AmbulanceServiceLimit,AnnualHealthCheckLimit,BloodTransfusionLimit,CancerCareInvestigationsLimit,ChronicDiseaseLimit,ConsultationGeneralLimit,ConsultationSpecialistLimit,DentalCareLimit,EmergencyCareLimit,FamilyPlanningLimit,FeedingLimit,FertilityInvestigationsLimit,GYMLimit,HIVTreatmentLimit,ImmunizationLimit,IntensiveCareLimit,SurgeryLimit,LabInvestigations,PostNatalCareLimit,MentalHealthCareLimit,MothersAdmissionForSCBULimit,NeoNatalCareLimit,NutritionistDieticianConsultationLimit,OpticalCareLimit,GlassesLimit,PhysiotherapyLimit,DrugsLimit,RadiologyLimit,RenalDialysisLimit,UltraSoundLimit,OpticalLimit,DentalLimit,MaternityLimit,AggregrateAnnualLimitPerMem
234000219,3,STERLING BANK PLC,PRESTIGE PLAN NEW,1/1/2023,12/31/2023,60,18,20,YES,NULL,NULL,1000000,NULL,20000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,120000,NULL,NULL,1000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,40000,120000,1000000,1500000
234000219,6,STERLING BANK PLC,STERLING BANK PREMIUM PLAN,1/1/2023,12/31/2023,60,21,0,YES,NULL,NULL,NULL,NULL,NULL,2000000,NULL,NULL,NULL,200000,NULL,NULL,NULL,100000,NULL,NULL,NULL,NULL,NULL,NULL,400000,NULL,NULL,NULL,NULL,NULL,40000,NULL,NULL,NULL,NULL,NULL,120000,200000,400000,3000000
234000419,3,PRIME ATLANTIC LIMITED,PREMIUM PLAN NEW,4/1/2019,8/31/2019,65,18,20,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,55000,80000,150000,750000
234000519,3,AGBELOBA HOLDINGS LIMITED,PREMIUM PREMIUM PLAN,11/1/2022,10/31/2023,65,21,0,YES,NULL,NULL,NULL,NULL,NULL,400000,NULL,NULL,NULL,30000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,150000,NULL,NULL,NULL,NULL,NULL,15000,NULL,NULL,NULL,NULL,NULL,55000,30000,150000,600000
234000619,3,AFRO TOURISM,PLUS PLAN 2019,5/1/2020,5/31/2020,65,21,0,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,40000,20000,120000,375000
234000919,3,ETRANZACT,ETRANZACT PLUS PLAN NEW,1/1/2023,12/31/2023,60,18,0,YES,NULL,NULL,NULL,NULL,NULL,250000,NULL,NULL,NULL,20000,NULL,NULL,NULL,30000,NULL,NULL,NULL,NULL,NULL,NULL,120000,NULL,NULL,NULL,NULL,NULL,7500,NULL,NULL,NULL,NULL,NULL,37500,20000,120000,375000
234001019,3,BANK OF INDUSTRY LIMITED,BOI PRESTIGE PLAN NEW INTL,6/1/2022,5/31/2023,60,18,0,YES,NULL,NULL,NULL,NULL,NULL,1000000,NULL,NULL,NULL,120000,NULL,NULL,NULL,100000,NULL,NULL,NULL,NULL,NULL,NULL,400000,NULL,NULL,NULL,NULL,NULL,25000,NULL,NULL,NULL,NULL,NULL,105000,120000,400000,1500000
234001119,3,DEVYANI INTERNATIONAL NIGERIA LIMITED,ACCESS PREMIUM PLAN,10/1/2021,7/31/2022,60,18,0,YES,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,55000,30000,150000,600000
234001619,4,ECOSOURCING GLOBAL RESOURCERY LIMITED,LIFE PLUS SME,10/1/2022,9/30/2023,60,18,20,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,200000,NULL,NULL,NULL,NULL,NULL,7500,NULL,NULL,NULL,NULL,NULL,7500,10000,200000,375000
234002019,1,DELIVERY SCIENCE LIMITED,LIFE STARTER SME,4/1/2019,4/30/2020,60,18,10,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,200000
234002119,1,KALDI AFRICA LIMITED,LIFE STARTER SME,4/1/2019,3/31/2020,60,18,10,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,200000
234002219,1,SCM CAPITAL,LIFE STARTER SME,3/1/2019,3/31/2020,60,18,10,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,200000
234002319,1,PIVEC ENERGY LIMITED,LIFE PLUS SME,3/1/2019,3/31/2020,60,18,20,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7500,10000,200000,375000
